# The 196 pins are counted from 0 to 195, starting from the uppermost pin of
# the left side, counter-clockwise. Pads 65 and 179 are unused (DNC) due to
# analog/digital separation. 

# analog part
# -----------
# 49 pins are on the left (0-49), 15 on the bottom (49-64) and 15 pins on the
# top (180-195) side.

# Pins & Net & Dec vs. & Type & Comment

0,45                & vddp1         & -             & protection & to vddc
1,46                & gndp1         & -             & protection & to gndc
2, 13, 24, 35, 47   & vddc          & gndc          & power      & CSA 1.8V
3, 14, 25, 36, 48   & gndc          & vddc          & power      & CSA 0.0V
4                   & ampIn0        & -             & input      & CSA, to connector
5                   & ampIn1        & -             & input      & CSA, to connector
6                   & ampIn2        & -             & input      & CSA, to connector
7                   & ampIn3        & -             & input      & CSA, to connector
8                   & ampIn4        & -             & input      & CSA, to connector
9                   & ampIn5        & -             & input      & CSA, to connector
10                  & ampIn6        & -             & input      & CSA, to connector
11                  & ampIn7        & -             & input      & CSA, to connector
15                  & ampIn8        & -             & input      & CSA, to connector
16                  & ampIn9        & -             & input      & CSA, to connector
17                  & ampIn10       & -             & input      & CSA, to connector
18                  & ampIn11       & -             & input      & CSA, to connector
19                  & ampIn12       & -             & input      & CSA, to connector
20                  & ampIn13       & -             & input      & CSA, to connector
21                  & ampIn14       & -             & input      & CSA, to connector
22                  & ampIn15       & -             & input      & CSA, to connector
26                  & ampIn16       & -             & input      & CSA, to connector
27                  & ampIn17       & -             & input      & CSA, to connector
28                  & ampIn18       & -             & input      & CSA, to connector
29                  & ampIn19       & -             & input      & CSA, to connector
30                  & ampIn20       & -             & input      & CSA, to connector
31                  & ampIn21       & -             & input      & CSA, to connector
32                  & ampIn22       & -             & input      & CSA, to connector
33                  & ampIn23       & -             & input      & CSA, to connector
37                  & ampIn24       & -             & input      & CSA, to connector
38                  & ampIn25       & -             & input      & CSA, to connector
39                  & ampIn26       & -             & input      & CSA, to connector
40                  & ampIn27       & -             & input      & CSA, to connector
41                  & ampIn28       & -             & input      & CSA, to connector
42                  & ampIn29       & -             & input      & CSA, to connector
43                  & ampIn30       & -             & input      & CSA, to connector
44                  & ampIn31       & -             & input      & CSA, to connector
12, 23, 34, 62, 182 & gndb          & -             & bulk       & also in digital part
49                  & DecAdcVdda3   & vdda          & bias       & ADC + analog CSA trigger
50                  & DecAdcVdda2   & vdda          & bias       & ADC, internally switchable
51                  & DecAdcVdda1   & vdda          & bias       & ADC, internally switchable
52                  & DecAdcAmpLow2 & AmpLow        & bias       & ADC, internally switchable
53                  & DecAdcAmpLow1 & AmpLow        & bias       & ADC, internally switchable
54                  & DecAdcGnda2   & gnda          & bias       & ADC, internally switchable
55                  & DecAdcGnda1   & gnda          & bias       & ADC, internally switchable
56, 188             & vdda          & gnda          & power      & ADC analog 1.8V
57, 187             & gnda          & vdda          & power      & ADC analog 0.0V
58, 186             & AmpLow        & vdda          & power      & ADC analog 0.3V
59, 185             & RefIn         & gnda          & power      & ADC analog 0.96V
60, 184             & vddd1         & gndd1         & power      & ADC digital 1.8V
61, 183             & gndd1         & vddd1         & power      & ADC digital 0.0V
63                  & vddp3         & -             & protection & lower ADC pins, to vdda
64                  & gndp3         & -             & protection & lower ADC pins, to gnda
180                 & gndp2         & -             & protection & upper ADC pins, to gnda
181                 & vddp2         & -             & protection & upper ADC pins, to vdda
189                 & Monitor       & -             & monitor    & ADC + CSA, switchable, mmcx
190                 & BiasP         & vddc          & bias       & DAC reference
191                 & nSourceBias   & gndc          & bias       & CSA
192                 & pSourceBias   & vddc          & bias       & CSA
193                 & nCasc         & gndc          & bias       & CSA
194                 & pCasc         & vddc          & bias       & CSA
195                 & xFB           & p:gndc,n:vddc & bias       & CSA

# Digital Part
# ------------
# 33 pins are on the bottom (66-97), 49 on the right (98-146) and 33 pins on
# the top (147-178) side.

